,name,date,score,isin,parameter
6837,RWE ,2012-04-01,74.48,DE0007037129, ESG Score
6838,RWE ,2012-05-01,74.48,DE0007037129, ESG Score
6839,RWE ,2012-06-01,74.48,DE0007037129, ESG Score
6840,RWE ,2012-07-01,74.48,DE0007037129, ESG Score
6841,RWE ,2012-08-01,74.48,DE0007037129, ESG Score
6842,RWE ,2012-09-01,74.48,DE0007037129, ESG Score
6843,RWE ,2012-10-01,74.48,DE0007037129, ESG Score
6844,RWE ,2012-11-01,74.48,DE0007037129, ESG Score
6845,RWE ,2012-12-01,74.48,DE0007037129, ESG Score
6846,RWE ,2013-01-01,74.48,DE0007037129, ESG Score
6847,RWE ,2013-02-01,74.29,DE0007037129, ESG Score
6848,RWE ,2013-03-01,74.29,DE0007037129, ESG Score
6849,RWE ,2013-04-01,74.29,DE0007037129, ESG Score
6850,RWE ,2013-05-01,74.29,DE0007037129, ESG Score
6851,RWE ,2013-06-01,74.29,DE0007037129, ESG Score
6852,RWE ,2013-07-01,74.29,DE0007037129, ESG Score
6853,RWE ,2013-08-01,74.29,DE0007037129, ESG Score
6854,RWE ,2013-09-01,74.29,DE0007037129, ESG Score
6855,RWE ,2013-10-01,74.29,DE0007037129, ESG Score
6856,RWE ,2013-11-01,74.29,DE0007037129, ESG Score
6857,RWE ,2013-12-01,74.29,DE0007037129, ESG Score
6858,RWE ,2014-01-01,74.29,DE0007037129, ESG Score
6859,RWE ,2014-02-01,72.82,DE0007037129, ESG Score
6860,RWE ,2014-03-01,72.82,DE0007037129, ESG Score
6861,RWE ,2014-04-01,72.82,DE0007037129, ESG Score
6862,RWE ,2014-05-01,72.82,DE0007037129, ESG Score
6863,RWE ,2014-06-01,72.82,DE0007037129, ESG Score
6864,RWE ,2014-07-01,72.82,DE0007037129, ESG Score
6865,RWE ,2014-08-01,72.82,DE0007037129, ESG Score
6866,RWE ,2014-09-01,72.82,DE0007037129, ESG Score
6867,RWE ,2014-10-01,72.82,DE0007037129, ESG Score
6868,RWE ,2014-11-01,72.82,DE0007037129, ESG Score
6869,RWE ,2014-12-01,72.82,DE0007037129, ESG Score
6870,RWE ,2015-01-01,72.82,DE0007037129, ESG Score
6871,RWE ,2015-02-01,70.92,DE0007037129, ESG Score
6872,RWE ,2015-03-01,70.92,DE0007037129, ESG Score
6873,RWE ,2015-04-01,70.92,DE0007037129, ESG Score
6874,RWE ,2015-05-01,70.92,DE0007037129, ESG Score
6875,RWE ,2015-06-01,70.92,DE0007037129, ESG Score
6876,RWE ,2015-07-01,70.92,DE0007037129, ESG Score
6877,RWE ,2015-08-01,70.92,DE0007037129, ESG Score
6878,RWE ,2015-09-01,70.92,DE0007037129, ESG Score
6879,RWE ,2015-10-01,70.92,DE0007037129, ESG Score
6880,RWE ,2015-11-01,70.92,DE0007037129, ESG Score
6881,RWE ,2015-12-01,70.92,DE0007037129, ESG Score
6882,RWE ,2016-01-01,70.92,DE0007037129, ESG Score
6883,RWE ,2016-02-01,72.22,DE0007037129, ESG Score
6884,RWE ,2016-03-01,72.22,DE0007037129, ESG Score
6885,RWE ,2016-04-01,72.22,DE0007037129, ESG Score
6886,RWE ,2016-05-01,72.22,DE0007037129, ESG Score
6887,RWE ,2016-06-01,72.22,DE0007037129, ESG Score
6888,RWE ,2016-07-01,72.22,DE0007037129, ESG Score
6889,RWE ,2016-08-01,72.22,DE0007037129, ESG Score
6890,RWE ,2016-09-01,72.22,DE0007037129, ESG Score
6891,RWE ,2016-10-01,72.22,DE0007037129, ESG Score
6892,RWE ,2016-11-01,72.22,DE0007037129, ESG Score
6893,RWE ,2016-12-01,72.22,DE0007037129, ESG Score
6894,RWE ,2017-01-01,72.22,DE0007037129, ESG Score
6895,RWE ,2017-02-01,70.5,DE0007037129, ESG Score
6896,RWE ,2017-03-01,70.5,DE0007037129, ESG Score
6897,RWE ,2017-04-01,70.5,DE0007037129, ESG Score
6898,RWE ,2017-05-01,70.5,DE0007037129, ESG Score
6899,RWE ,2017-06-01,70.5,DE0007037129, ESG Score
